sigma_xx,sigma_yy,sigma_zz,sigma_xy,sigma_xz,sigma_yz
100.0,0.0,0.0,-10.0,0.0,0.0
99.99802608561372,0.0,0.0,-0.06283143965558952,0.0,0.0
99.99210442038161,0.0,0.0,-0.1256603988335261,0.0,0.0
99.9822352380809,0.0,0.0,-0.18848439715408175,0.0,0.0
99.96841892833,0.0,0.0,-0.2513009544333748,0.0,0.0
99.95065603657316,0.0,0.0,-0.3141075907812829,0.0,0.0
99.92894726405892,0.0,0.0,-0.3769018266993454,0.0,0.0
99.90329346781247,0.0,0.0,-0.439681183178649,0.0,0.0
99.87369566060174,0.0,0.0,-0.5024431817976955,0.0,0.0
99.8401550108975,0.0,0.0,-0.5651853448202453,0.0,0.0
99.80267284282715,0.0,0.0,-0.6279051952931337,0.0,0.0
99.76125063612253,0.0,0.0,-0.6906002571440578,0.0,0.0
99.71589002606139,0.0,0.0,-0.7532680552793272,0.0,0.0
99.66659280340299,0.0,0.0,-0.8159061156815756,0.0,0.0
99.61336091431725,0.0,0.0,-0.8785119655074316,0.0,0.0
99.556196460308,0.0,0.0,-0.9410831331851431,0.0,0.0
99.49510169813001,0.0,0.0,-1.003617148512149,0.0,0.0
99.43007903969989,0.0,0.0,-1.0661115427525991,0.0,0.0
99.36113105200084,0.0,0.0,-1.1285638487348169,0.0,0.0
99.28826045698138,0.0,0.0,-1.1909716009486973,0.0,0.0
99.21147013144778,0.0,0.0,-1.2533323356430426,0.0,0.0
99.13076310695065,0.0,0.0,-1.315643590922825,0.0,0.0
99.04614256966512,0.0,0.0,-1.3779029068463804,0.0,0.0
98.95761186026509,0.0,0.0,-1.4401078255225217,0.0,0.0
98.86517447379141,0.0,0.0,-1.5022558912075707,0.0,0.0
98.76883405951378,0.0,0.0,-1.5643446504023086,0.0,0.0
98.6685944207868,0.0,0.0,-1.626371651948836,0.0,0.0
98.56445951489981,0.0,0.0,-1.6883344471273387,0.0,0.0
98.45643345292054,0.0,0.0,-1.7502305897527604,0.0,0.0
98.34452049953298,0.0,0.0,-1.8120576362713736,0.0,0.0
98.22872507286887,0.0,0.0,-1.873813145857246,0.0,0.0
98.10905174433341,0.0,0.0,-1.9354946805086024,0.0,0.0
97.98550523842468,0.0,0.0,-1.9970998051440703,0.0,0.0
97.8580904325472,0.0,0.0,-2.0586260876988134,0.0,0.0
97.72681235681935,0.0,0.0,-2.1200710992205463,0.0,0.0
97.59167619387475,0.0,0.0,-2.1814324139654255,0.0,0.0
97.4526872786577,0.0,0.0,-2.242707609493812,0.0,0.0
97.30985109821265,0.0,0.0,-2.303894266765906,0.0,0.0
97.1631732914674,0.0,0.0,-2.3649899702372466,0.0,0.0
97.01265964901057,0.0,0.0,-2.425992307954074,0.0,0.0
96.85831611286311,0.0,0.0,-2.486898871648548,0.0,0.0
96.7001487762435,0.0,0.0,-2.5477072568338217,0.0,0.0
96.53816388332739,0.0,0.0,-2.6084150628989695,0.0,0.0
96.37236782900096,0.0,0.0,-2.669019893203756,0.0,0.0
96.2027671586086,0.0,0.0,-2.7295193551732515,0.0,0.0
96.0293685676943,0.0,0.0,-2.789911060392293,0.0,0.0
95.85217890173759,0.0,0.0,-2.850192624699761,0.0,0.0
95.67120515588304,0.0,0.0,-2.910361668282718,0.0,0.0
95.4864544746643,0.0,0.0,-2.970415815770349,0.0,0.0
95.29793415172189,0.0,0.0,-3.030352696327739,0.0,0.0
95.10565162951535,0.0,0.0,-3.090169943749474,0.0,0.0
94.90961449902946,0.0,0.0,-3.1498651965530478,0.0,0.0
94.70983049947442,0.0,0.0,-3.2094360980720955,0.0,0.0
94.50630751798047,0.0,0.0,-3.2688802965494244,0.0,0.0
94.29905358928646,0.0,0.0,-3.3281954452298663,0.0,0.0
94.08807689542255,0.0,0.0,-3.3873792024529137,0.0,0.0
